source,author,title,publishedAt,description,urlToImage,url
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,U.S. Senate Intelligence chairman says threat on social media remains,2018-09-05T13:54:44Z,"Senator Richard Burr, the Republican chairman of the U.S. Senate Intelligence Committee, said on Wednesday that the ""national security vulnerability"" and ""unacceptable risk"" of social media platforms remain unaddressed.",https://s1.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1300987028&w=1200&r=LYNXNPEE84180,https://www.reuters.com/article/us-usa-tech-congress-burr/u-s-senate-intelligence-chairman-says-threat-on-social-media-remains-idUSKCN1LL1WW
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,U.S. Senate Intelligence chairman says threat on social media remains,2018-09-05T13:51:51Z,"Senator Richard Burr, the Republican chairman of the U.S. Senate Intelligence Committee, said on Wednesday that the ""national security vulnerability"" and ""unacceptable risk"" of social media platforms remain unaddressed.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/usa-tech-congress-burr/u-s-senate-intelligence-chairman-says-threat-on-social-media-remains-idUSL2N1VR0NI
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Brazil prosecutors accuse presidential candidate Alckmin of misconduct- report,2018-09-05T13:50:13Z,"Brazilian prosecutors have formally accused Geraldo Alckmin, a market-friendly presidential candidate, of administrative misconduct and asked judicial authorities to suspend his political rights, a news website reported on Wednesday.",https://s2.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1300985567&w=1200&r=LYNXNPEE8417C,https://www.reuters.com/article/us-brazil-election/brazil-prosecutors-accuse-presidential-candidate-alckmin-of-misconduct-report-idUSKCN1LL1VY
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Russia says visit by North Korean leader being discussed,2018-09-05T13:48:54Z,"Moscow and Pyongyang are discussing the possibility of a visit by the North Korean leader, Kim Jong Un, to Russia, Kremlin aide Yuri Ushakov said on Wednesday.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://af.reuters.com/article/worldNews/idAFKCN1LL1VW
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Russia says visit by North Korean leader being discussed,2018-09-05T13:48:44Z,"Moscow and Pyongyang are discussing the possibility of a visit by the North Korean leader, Kim Jong Un, to Russia, Kremlin aide Yuri Ushakov said on Wednesday.",https://s4.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1300985034&w=1200&r=LYNXNPEE84179,https://www.reuters.com/article/us-russia-north-korea-kim-visit/russia-says-visit-by-north-korean-leader-being-discussed-idUSKCN1LL1VU
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Kremlin says more trust-building needed for Kurile deal with Japan,2018-09-05T13:47:26Z,"Russia and Japan need to do more work to build trust before a treaty can be signed to resolve a decades-old row over a group of Pacific islands, Kremlin aide Yuri Ushakov said on Wednesday.",https://s3.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1300984413&w=1200&r=LYNXNPEE84175,https://www.reuters.com/article/us-russia-japan-treaty/kremlin-says-more-trust-building-needed-for-kurile-deal-with-japan-idUSKCN1LL1VK
"{'name': 'Reuters', 'id': 'reuters'}",Sumeet Chatterjee,JPMorgan picked to run sale of Anbang' Dutch insurer Vivat - sources,2018-09-05T13:46:47Z,"China's Anbang Insurance Group has picked JPMorgan to manage the 1.4-1.8 billion euro ($1.6-$2 billion) sale of its Dutch insurance arm Vivat, two people familiar with the matter told Reuters.",https://s4.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1300986159&w=1200&r=LYNXNPEE8417V,https://www.reuters.com/article/us-anbang-group-divestiture-vivat/jpmorgan-picked-to-run-sale-of-anbang-dutch-insurer-vivat-sources-idUSKCN1LL1WA
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Syrian minister says no reason to open crossing with Jordan yet,2018-09-05T13:45:17Z,"Syria's economy minister said he sees no reason yet to re-open the Nassib crossing with Jordan, Lebanon's NNA news agency said on Wednesday after he met Lebanon's industry minister who is pushing for it to be opened.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-mideast-crisis-syria-lebanon-crossing/syrian-minister-says-no-reason-to-open-crossing-with-jordan-yet-idUSKCN1LL1VG
"{'name': 'Reuters', 'id': 'reuters'}",Karen Brettell,TREASURIES-Prices gain as emerging market weakness sparks contagion fears,2018-09-05T13:44:51Z,"U.S Treasury prices gained slightly on Wednesday as renewed weakness in emerging markets boosted demand for low risk U.S. government debt, though pressure from a heavy corporate debt supply calendar limited gains.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/usa-bonds/treasuries-prices-gain-as-emerging-market-weakness-sparks-contagion-fears-idUSL2N1VR0LS
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Britain summons Russia's charge d'affaires in London over Skripal affair: RIA,2018-09-05T13:43:35Z,"Britain summoned Russia's charge d'affaires in London on Wednesday after charging two suspects over the poisoning of former Russian agent Sergei Skripal and his daughter, Russia's RIA news agency reported.",https://s1.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1300982777&w=1200&r=LYNXNPEE84170,https://www.reuters.com/article/us-britain-russia-diplomat-summons/britain-summons-russias-charge-daffaires-in-london-over-skripal-affair-ria-idUSKCN1LL1V4
