,source,author,title,publishedAt,description,urlToImage,url,sentiment_score
486,"{'name': 'Reuters', 'id': 'reuters'}",Noel Randewich,"Tesla bond hits record low, stock slips as investor worry deepens",2018-09-05 20:25:44,Tesla's stock and bond prices dropped on Wednesday after Chief Executive Elon Musk renewed an attack on a British caver whom he had previously insulted on social media and a day after Mercedes unveiled a challenge to the electric car maker.,https://s2.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301101273&w=1200&r=LYNXNPEE841Y1-OCATC,https://ca.reuters.com/article/technologyNews/idCAKCN1LL2Z2-OCATC,-5.0
487,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,LaSalle says to go with Pebblebrook offer,2018-09-05 20:25:36,"The board of LaSalle Hotel Properties said on Wednesday the unsolicited offer from Pebblebrook Hotel Trust constituted a ""superior proposal"" to that from Blackstone Group LP .",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-lasalle-hotel-m-a-pebblebrook-htl/lasalle-says-to-go-with-pebblebrook-offer-idUSKCN1LL2ZY,3.0
488,"{'name': 'Reuters', 'id': 'reuters'}",Frank Pingue,Former French Open champion Schiavone calls time on career,2018-09-05 20:24:43,"Francesca Schiavone, who became the first Italian woman to win a Grand Slam singles title when she triumphed at the 2010 French Open, announced her retirement from professional tennis at the U.S. Open on Wednesday.",https://s4.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301101013&w=1200&r=LYNXNPEE841XW,https://www.reuters.com/article/us-tennis-usopen-schiavone/former-french-open-champion-schiavone-calls-time-on-career-idUSKCN1LL2YU,5.0
489,"{'name': 'Reuters', 'id': 'reuters'}",Frank Pingue,Former French Open champion Schiavone calls time on career,2018-09-05 20:24:43,"Francesca Schiavone, who became the first Italian woman to win a Grand Slam singles title when she triumphed at the 2010 French Open, announced her retirement from professional tennis at the U.S. Open on Wednesday.",https://s3.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301101283&w=1200&r=LYNXNPEE841XW-OCASP,https://ca.reuters.com/article/sportsNews/idCAKCN1LL2YU-OCASP,5.0
490,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Macron seeks progressive coalition for EU parliament by end 2018,2018-09-05 20:22:37,"French President Emmanuel Macron wants to forge a coalition of progressives for next May's European Parliament election by around the end of the year, a source in his office said on Wednesday.",https://s4.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301099895&w=1200&r=LYNXNPEE841XV,https://www.reuters.com/article/us-eu-parliament-france/macron-seeks-progressive-coalition-for-eu-parliament-by-end-2018-idUSKCN1LL2YM,0.0
491,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,NFL notebook: Earl Thomas reports to Seahawks,2018-09-05 20:21:05,"Seattle Seahawks free safety Earl Thomas is ending his holdout, but his announcement posted to Instagram on Wednesday made it clear reporting to the team was not his first choice.",https://s3.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301099876&w=1200&r=LYNXNPEE841XM,https://www.reuters.com/article/us-football-nfl-notebook/nfl-notebook-earl-thomas-reports-to-seahawks-idUSKCN1LL2YI,3.0
492,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,NFL notebook: Earl Thomas reports to Seahawks,2018-09-05 20:21:05,"Seattle Seahawks free safety Earl Thomas is ending his holdout, but his announcement posted to Instagram on Wednesday made it clear reporting to the team was not his first choice.",https://s3.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301100098&w=1200&r=LYNXNPEE841XM-OCASP,https://ca.reuters.com/article/sportsNews/idCAKCN1LL2YI-OCASP,3.0
493,"{'name': 'Reuters', 'id': 'reuters'}",Thomson Reuters,"Dorsey, Sandberg defend cleanup as midterm vote nears",2018-09-05 20:20:50,"Shares of Facebook and Twitter fell on Wednesday as their top executives testified before the U.S. Congress, defending the companies against what lawmakers see as a failure to combat continuing foreign efforts to influence U.S. politics.",https://s2.reutersmedia.net/resources/r/?d=20180905&i=RCV005KDG&w=1200&r=RCV005KDG&t=2,https://www.reuters.com/video/2018/09/05/dorsey-sandberg-defend-cleanup-as-midter?videoId=461500281,0.0
494,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,"Some buildings collapse as powerful quake hits Hokkaido, Japan",2018-09-05 20:19:03,"A powerful earthquake hit Japan's northern island of Hokkaido early on Thursday, collapsing walls and some buildings but not triggering a tsunami.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://ca.reuters.com/article/topNews/idCAKCN1LL2QK-OCATP,0.0
495,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Mack debut looms large over Bears-Packers,2018-09-05 20:15:34,Chicago Bears: Two players with potential to bring the biggest impact to the Bears' defense have limited reps with the first team.,https://s1.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301098609&w=1200&r=LYNXNPEE841XA,https://www.reuters.com/article/us-football-nfl-gb-chi-nfcnorthnotebook/mack-debut-looms-large-over-bears-packers-idUSKCN1LL2YD,-1.0
